*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ScrewShield
*Date=15:21:59
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
272;;;22.1918;-30.8217;0;Bottom;Via125
273;;;60.2918;-58.7619;0;Bottom;Via80
274;;;57.7518;-38.4417;0;Bottom;Via63
275;;;62.8318;-56.2219;0;Bottom;Via106
276;;;19.6518;-53.6817;0;Bottom;Via119
277;;;45.0518;-51.1417;0;Bottom;Via23
278;;;52.6718;-51.1415;0;Bottom;Via38
279;;;24.7318;-30.8215;0;Bottom;Via137
280;;THT;56.4818;-61.3017;-90;Bottom;J5
281;;;30.6705;-5.9742;0;Bottom;Copper Fill20
282;;;56.4896;-65.3086;0;Bottom;Copper Fill60
283;;;18.7071;-83.6601;0;Bottom;Copper Fill15
284;;;47.5918;-48.6017;0;Bottom;Via5
285;;;37.1856;-65.3594;0;Bottom;Copper Fill54
286;;;91.0844;-58.9332;0;Bottom;Copper Fill43
287;;;24.7318;-56.2217;0;Bottom;Via142
288;;;34.163;-60.0762;0;Bottom;Copper Fill6
289;;;39.9718;-30.8217;0;Bottom;Via209
290;;;27.2718;-48.6015;0;Bottom;Via150
291;;;42.5118;-51.1417;0;Bottom;Via218
292;;;47.5918;-30.8217;0;Bottom;Via12
293;;;45.0518;-38.4417;0;Bottom;Via21
294;;;19.6518;-38.4417;0;Bottom;Via111
295;;;55.2118;-58.7619;0;Bottom;Via56
296;;;34.8918;-30.8217;0;Bottom;Via185
297;;;50.1318;-33.3617;0;Bottom;Via32
298;;;92.8878;-43.7059;0;Bottom;Copper Fill28
299;;;22.1918;-56.2219;0;Bottom;Via130
300;;;29.7942;-6.8886;0;Bottom;Copper Fill17
301;;;57.7518;-48.6017;0;Bottom;Via66
302;;;34.8918;-48.6017;0;Bottom;Via186
303;;;44.8997;-75.3814;-90;Bottom;TXT2
304;;;47.5918;-56.2217;0;Bottom;Via2
305;;;92.0115;-59.8603;0;Bottom;Copper Fill41
306;;;20.1544;-74.1114;-90;Bottom;TXT2
307;;;27.2718;-46.0615;0;Bottom;Via145
308;;;25.1841;-23.7288;0;Bottom;Copper Fill85
309;;;22.1918;-33.3617;0;Bottom;Via124
310;;;62.8318;-51.1417;0;Bottom;Via98
311;;;27.2718;-43.5215;0;Bottom;Via153
312;;;43.7896;-24.2876;0;Bottom;Copper Fill78
313;;;33.6296;-24.2876;0;Bottom;Copper Fill75
314;;;39.243;-60.0762;0;Bottom;Copper Fill8
315;;;61.5696;-65.3086;0;Bottom;Copper Fill62
316;;;42.5711;-14.5808;-90;Bottom;TXT2
317;;;34.8918;-46.0617;0;Bottom;Via181
318;;;61.5696;-24.2876;0;Bottom;Copper Fill82
319;;;62.8704;-76.0345;-90;Bottom;TXT2
320;;;32.3518;-30.8217;0;Bottom;Via173
321;;;92.0115;-49.7003;0;Bottom;Copper Fill29
322;;;27.2718;-38.4415;0;Bottom;Via147
323;;;68.0515;-75.9837;-90;Bottom;TXT2
324;;;51.4096;-65.3086;0;Bottom;Copper Fill58
325;;;57.7518;-46.0617;0;Bottom;Via61
326;;;92.0115;-47.8969;0;Bottom;Copper Fill30
327;;;42.5118;-33.3617;0;Bottom;Via220
328;;;39.9718;-38.4417;0;Bottom;Via207
329;;;60.2918;-40.9817;0;Bottom;Via79
330;;;77.8549;-75.9837;-90;Bottom;TXT2
331;;;9.07927;-40.9807;-90;Bottom;TXT3
332;;THT;90.7045;-15.9147;180;Bottom;J9
333;;;22.1918;-40.9817;0;Bottom;Via127
334;;;55.2118;-33.3617;0;Bottom;Via52
335;;;19.6518;-58.7619;0;Bottom;Via116
336;;;41.783;-60.0762;0;Bottom;Copper Fill9
337;;;31.623;-60.0762;0;Bottom;Copper Fill68
338;;;22.1918;-53.6817;0;Bottom;Via131
339;;;26.543;-60.0762;0;Bottom;Copper Fill66
340;;;20.5105;-83.6601;0;Bottom;Copper Fill16
341;;;27.2718;-58.7617;0;Bottom;Via152
342;;;24.7318;-35.9015;0;Bottom;Via144
343;;;32.3518;-40.9817;0;Bottom;Via175
344;;;60.2918;-38.4417;0;Bottom;Via75
345;;;62.8318;-58.7619;0;Bottom;Via104
346;;;81.5145;-12.892;-90;Bottom;TXT1
347;;;34.8918;-56.2219;0;Bottom;Via190
348;;;30.0718;-74.9183;-90;Bottom;TXT2
349;;;55.2118;-35.9017;0;Bottom;Via60
350;;;60.2918;-48.6017;0;Bottom;Via78
351;;;31.623;-60.0762;0;Bottom;Copper Fill5
352;;;45.0518;-33.3617;0;Bottom;Via20
353;;;40.1817;-74.9183;-90;Bottom;TXT2
354;;;39.9718;-40.9817;0;Bottom;Via211
355;;;39.9718;-53.6817;0;Bottom;Via215
